site,month,surface_temp,clarity,conductivity,net,date_time_set,depth_1,depth_2,date_time_pull,lat,long
ABY,5,13.7,5.7,8.07,MIN01,5/21/2022 18:04,1,,5/22/2022 8:40,,
ABY,5,13.7,5.7,8.07,MIN02,5/21/2022 18:05,1.8,,5/22/2022 8:40,,
ABY,5,13.7,5.7,8.07,MIN05,5/21/2022 18:09,4.4,,5/22/2022 8:34,,
ABY,5,13.7,5.7,8.07,GIL10,5/21/2022 17:36,5.3,15,5/22/2022 7:29,,
ABY,5,13.7,5.7,8.07,HOP10,5/21/2022 17:53,5,,5/22/2022 8:18,,
ABY,5,13.7,5.7,8.07,MIN10,5/21/2022 18:13,8.5,,5/22/2022 8:34,,
ABY,5,13.7,5.7,8.07,MIN15,5/21/2022 18:24,12,,5/22/2022 8:30,,
ABY,5,13.7,5.7,8.07,GIL20,5/21/2022 17:33,15,25,5/22/2022 6:49,,
ABY,5,13.7,5.7,8.07,HOP20,5/21/2022 17:49,16,,5/22/2022 8:13,,
ABY,5,13.7,5.7,8.07,MIN20,5/21/2022 18:29,17,,5/22/2022 8:25,,
ABY,5,13.7,5.7,8.07,MIN25,5/21/2022 18:34,21,,5/22/2022 8:24,,
ABY,5,13.7,5.7,8.07,GIL30,5/21/2022 17:30,25,31.9,5/22/2022 6:18,,
ABY,5,13.7,5.7,8.07,HOP30,5/21/2022 18:47,24.2,,5/22/2022 8:10,,
ABY,5,13.7,5.7,8.07,MIN30,5/21/2022 18:37,25.2,,5/22/2022 8:20,,
ABY,6,17.8,8.44,8.25,MINBEN01,6/24/2022 18:16,1,,6/25/2022 8:07,-119.5015767,40.09411667
ABY,6,17.8,8.44,8.25,MINBEN02,6/24/2022 18:16,2,,6/25/2022 8:07,-119.5016267,40.09407
ABY,6,17.8,8.44,8.25,MINBEN05,6/24/2022 18:18,4.6,,6/25/2022 8:05,-119.5018017,40.09397
ABY,6,17.8,8.44,8.25,GIL10,6/24/2022 18:01,3.5,11.5,6/25/2022 6:29,-119.499265,40.09137333
ABY,6,17.8,8.44,8.25,MINBEN10,6/24/2022 18:21,9.9,,6/25/2022 8:01,-119.5021433,40.09387667
ABY,6,17.8,8.44,8.25,MINBEN15,6/24/2022 18:22,15.3,,6/25/2022 8:01,-119.5021067,40.09381833
ABY,6,17.8,8.44,8.25,GIL20,6/24/2022 17:57,10.1,22.1,6/25/2022 6:02,-119.50027,40.09191167
ABY,6,17.8,8.44,8.25,MINBEN20,6/24/2022 18:24,20,,6/25/2022 7:58,-119.502255,40.09374167
ABY,6,17.8,8.44,8.25,MINBEN25,6/24/2022 18:31,24,,6/25/2022 7:56,-119.5023383,40.09384667
ABY,6,17.8,8.44,8.25,GIL30,6/24/2022 17:46,26.1,32.4,6/25/2022 5:49,-119.501455,40.09262
ABY,6,17.8,8.44,8.25,MINBEN30,6/24/2022 18:34,29.4,,6/25/2022 7:55,-119.502465,40.09364333
ABY,6,17.8,8.44,8.25,HOPS,6/24/2022 18:07,3,5.4,6/25/2022 7:46,-119.501485,40.09365833
ABY,7,24,0,8.34,MINBEN01,7/28/2022 19:00,,1.5,7/29/2022 7:41,-119.50107,40.09354833
ABY,7,24,0,8.34,MINBEN02,7/28/2022 18:59,,2.1,7/29/2022 7:40,-119.501115,40.09353167
ABY,7,24,0,8.34,MINBEN05,7/28/2022 18:58,,5,7/29/2022 7:38,-119.501285,40.09347333
ABY,7,24,0,8.34,MINBEN10,7/28/2022 18:56,,10.2,7/29/2022 7:36,-119.50149,40.09341167
ABY,7,24,0,8.34,GIL10,7/28/2022 19:10,4.5,8.2,7/29/2022 6:08,-119.5003917,40.09199833
ABY,7,24,0,8.34,MINBEN15,7/28/2022 18:56,,14.5,7/29/2022 7:33,-119.5015633,40.0934
ABY,7,24,0,8.34,MINBEN20,7/28/2022 18:55,,19.8,7/29/2022 7:32,-119.5017333,40.09340833
ABY,7,24,0,8.34,GIL20,7/28/2022 19:12,14,24.5,7/29/2022 5:46,-119.5002033,40.09109167
ABY,7,24,0,8.34,MINBEN25,7/28/2022 18:54,,25,7/29/2022 7:29,-119.5018967,40.09333667
ABY,7,24,0,8.34,MINBEN30,7/28/2022 18:53,,29.5,7/29/2022 7:26,-119.502065,40.09324333
ABY,7,24,0,8.34,HOPS,7/28/2022 19:03,3.2,3.7,7/29/2022 7:04,-119.5003983,40.09284667
BLH,5,15.5,5.1,7.75,MIN01,5/20/2022 18:30,1,,5/21/2022 9:11,,
BLH,5,15.5,5.1,7.75,MIN02,5/20/2022 18:32,2.1,,5/21/2022 9:09,,
BLH,5,15.5,5.1,7.75,MIN05,5/20/2022 18:39,5,,5/21/2022 9:06,,
BLH,5,15.5,5.1,7.75,GIL10,5/20/2022 18:04,7,22.8,5/21/2022 7:53,,
BLH,5,15.5,5.1,7.75,HOP10,5/20/2022 18:24,6.5,,5/21/2022 8:45,,
BLH,5,15.5,5.1,7.75,MIN10,5/20/2022 18:42,9.7,,5/21/2022 9:02,,
BLH,5,15.5,5.1,7.75,MIN15,5/20/2022 18:48,12,,5/21/2022 8:59,,
BLH,5,15.5,5.1,7.75,GIL20,5/20/2022 18:01,17,22.4,5/21/2022 7:04,,
BLH,5,15.5,5.1,7.75,HOP20,5/20/2022 18:19,17,,5/21/2022 8:45,,
BLH,5,15.5,5.1,7.75,MIN20,5/20/2022 18:53,16.5,,5/21/2022 8:55,,
BLH,5,15.5,5.1,7.75,MIN25,5/20/2022 18:58,21.7,,5/21/2022 8:52,,
BLH,5,15.5,5.1,7.75,GIL30,5/20/2022 17:57,27.5,34.5,5/21/2022 6:15,,
BLH,5,15.5,5.1,7.75,HOP30,5/20/2022 18:10,27,,5/21/2022 8:40,,
BLH,5,15.5,5.1,7.75,MIN30,5/20/2022 19:03,25.2,,5/21/2022 8:49,,
BLH,6,19,0,0,MINBEN01,6/25/2022 20:01,0.5,,6/26/2022 7:31,-119.4866967,39.87027333
BLH,6,19,0,0,MINBEN02,6/25/2022 20:01,1.5,,6/26/2022 7:31,-119.4866317,39.87031167
BLH,6,19,0,0,MINBEN05,6/25/2022 20:03,5.2,,6/26/2022 7:27,-119.4863733,39.87038
BLH,6,19,0,0,GIL10,6/25/2022 19:57,3.5,11,6/26/2022 6:38,-119.486715,39.87114667
BLH,6,19,0,0,MINBEN10,6/25/2022 20:05,10.3,,6/26/2022 7:25,-119.4861167,39.87028667
BLH,6,19,0,0,MINBEN15,6/25/2022 20:07,15.7,,6/26/2022 7:22,-119.48622,39.87045667
BLH,6,19,0,0,GIL20,6/25/2022 19:54,10.3,20,6/26/2022 6:14,-119.4869917,39.87171
BLH,6,19,0,0,MINBEN20,6/25/2022 20:09,21.6,,6/26/2022 7:19,-119.4857117,39.87044
BLH,6,19,0,0,MINBEN25,6/25/2022 20:12,25,,6/26/2022 7:16,-119.4859417,39.87064167
BLH,6,19,0,0,GIL30,6/25/2022 19:51,20.1,31,6/26/2022 5:53,-119.487225,39.872315
BLH,6,19,0,0,MINBEN30,6/25/2022 20:14,30.1,,6/26/2022 7:13,-119.4856517,39.87059333
BLH,7,25.8,0,8.35,MINBEN01,7/29/2022 18:53,1.3,,7/30/2022 7:12,-119.4864467,39.870145
BLH,7,25.8,0,8.35,MINBEN02,7/29/2022 18:52,2.4,,7/30/2022 7:12,-119.486415,39.87020667
BLH,7,25.8,0,8.35,MINBEN05,7/29/2022 18:51,4.8,,7/30/2022 7:08,-119.4863667,39.87032333
BLH,7,25.8,0,8.35,MINBEN10,7/29/2022 18:51,10.1,,7/30/2022 7:02,-119.4862467,39.87045167
BLH,7,25.8,0,8.35,GIL10,7/29/2022 19:00,4.9,10.9,7/30/2022 6:07,-119.4843117,39.86877667
BLH,7,25.8,0,8.35,MINBEN15,7/29/2022 18:50,14.5,,7/30/2022 7:01,-119.4862083,39.87052
BLH,7,25.8,0,8.35,MINBEN20,7/29/2022 18:49,20,,7/30/2022 6:58,-119.48612,39.87063333
BLH,7,25.8,0,8.35,GIL20,7/29/2022 19:03,15,21,7/30/2022 5:45,-119.4833033,39.86812667
BLH,7,25.8,0,8.35,MINBEN25,7/29/2022 18:49,25.1,,7/30/2022 6:57,-119.4860917,39.87069333
BLH,7,25.8,0,8.35,MINBEN30,7/29/2022 18:47,29.1,,7/30/2022 6:54,-119.485915,39.87092833
BLH,7,25.8,0,8.35,HOPS,7/29/2022 18:57,2.3,4,7/30/2022 6:45,-119.4854933,39.86933833
DAG,5,15.6,6.3,7.71,MIN01,5/24/2022 18:58,1,,5/25/2022 7:55,,
DAG,5,15.6,6.3,7.71,MIN02,5/24/2022 18:57,1.8,,5/25/2022 7:53,,
DAG,5,15.6,6.3,7.71,MIN05,5/24/2022 18:52,4.1,,5/25/2022 7:50,,
DAG,5,15.6,6.3,7.71,MIN10,5/24/2022 18:46,7.5,,5/25/2022 7:46,,
DAG,5,15.6,6.3,7.71,HOP10,5/24/2022 18:49,9,,5/25/2022 7:44,,
DAG,5,15.6,6.3,7.71,MIN15,5/24/2022 18:42,13.3,,5/25/2022 7:40,,
DAG,5,15.6,6.3,7.71,MIN20,5/24/2022 18:34,18,,5/25/2022 7:37,,
DAG,5,15.6,6.3,7.71,HOP20,5/24/2022 18:38,17.7,,5/25/2022 7:33,,
DAG,5,15.6,6.3,7.71,MIN25,5/24/2022 18:30,23.1,,5/25/2022 7:27,,
DAG,5,15.6,6.3,7.71,MIN30,5/24/2022 18:25,27.2,,5/25/2022 7:23,,
DAG,5,15.6,6.3,7.71,HOP30,5/24/2022 18:22,26.9,,5/25/2022 7:18,,
DAG,6,18,0,8.22,MINBEN01,6/22/2022 18:14,1.2,,6/23/2022 8:59,-119.416025,39.88766
DAG,6,18,0,8.22,MINBEN02,6/22/2022 18:15,1.9,,6/23/2022 8:58,-119.4162,39.88791
DAG,6,18,0,8.22,MINBEN05,6/22/2022 18:25,4,,6/23/2022 9:00,-119.4166467,39.88820333
DAG,6,18,0,8.22,GIL10,6/22/2022 18:03,6.2,12.4,6/23/2022 8:01,-119.417825,39.88750167
DAG,6,18,0,8.22,MINBEN10,6/22/2022 18:27,9.2,,6/23/2022 9:02,-119.4168567,39.888365
DAG,6,18,0,8.22,MINBEN15,6/22/2022 18:30,14.1,,6/30/2022 9:04,-119.4181,39.88952
DAG,6,18,0,8.22,GIL20,6/22/2022 17:59,14.8,15.5,6/23/2022 7:29,-119.4189267,39.88808833
DAG,6,18,0,8.22,MINBEN20,6/22/2022 18:34,19.3,,6/23/2022 9:10,-119.42095,39.89205333
DAG,6,18,0,8.22,MINBEN25,6/22/2022 18:40,24.1,,6/23/2022 9:17,-119.4284083,39.89748333
DAG,6,18,0,8.22,GIL30,6/22/2022 17:53,25.4,25.8,6/23/2022 7:06,-119.4254133,39.89217167
DAG,6,18,0,8.22,MINBEN30,6/22/2022 18:46,27.8,,6/23/2022 9:27,-119.4419267,39.906895
DAG,6,18,0,8.22,HOPS,6/22/2022 18:10,4.2,10.1,6/23/2022 8:56,-119.417455,39.88798333
DAG,7,0,0,0,MINBEN01,7/25/2022 18:44,1,,7/26/2022 13:01,-119.411585,39.892875
DAG,7,0,0,0,MINBEN02,7/25/2022 18:43,2.3,,7/26/2022 13:03,-119.4120717,39.89321167
DAG,7,0,0,0,MINBEN05,7/25/2022 18:41,5.4,,7/26/2022 13:09,-119.414475,39.89486833
DAG,7,0,0,0,MINBEN10,7/25/2022 18:40,9.7,,7/26/2022 13:12,-119.4164217,39.896105
DAG,7,0,0,0,GIL10,7/25/2022 18:51,5.7,5.9,7/26/2022 11:51,-119.414895,39.89340667
DAG,7,0,0,0,MINBEN15,7/25/2022 18:38,15,,7/26/2022 13:17,-119.420465,39.89825167
DAG,7,0,0,0,MINBEN20,7/25/2022 18:35,20.5,,7/26/2022 13:23,-119.43177,39.904235
DAG,7,0,0,0,GIL20,7/25/2022 18:55,15,15.3,7/26/2022 6:09,-119.420235,39.89691167
DAG,7,0,0,0,MINBEN25,7/25/2022 18:32,25.8,,7/26/2022 13:28,-119.440715,39.90894833
DAG,7,0,0,0,MINBEN30,7/25/2022 18:31,28.1,,7/26/2022 13:31,-119.4430217,39.91013333
DAG,7,0,0,0,GIL30,7/25/2022 19:01,25.1,25.4,7/26/2022 5:43,-119.438505,39.90614833
DAG,7,0,0,0,HOPS,7/25/2022 18:48,2.1,2.9,7/26/2022 12:37,-119.4130617,39.89209667
HEK,5,14.6,6.8,8.23,MIN01,5/23/2022 19:27,1.2,,5/24/2022 8:23,,
HEK,5,14.6,6.8,8.23,MIN02,5/23/2022 19:25,2,,5/24/2022 8:24,,
HEK,5,14.6,6.8,8.23,MIN05,5/23/2022 19:22,4.6,,5/24/2022 8:27,,
HEK,5,14.6,6.8,8.23,GIL10,5/23/2022 19:46,8.3,10.1,5/24/2022 7:35,,
HEK,5,14.6,6.8,8.23,MIN10,5/23/2022 19:18,8.2,,5/24/2022 8:30,,
HEK,5,14.6,6.8,8.23,HOP10,5/23/2022 19:51,8.3,,5/24/2022 8:33,,
HEK,5,14.6,6.8,8.23,MIN15,5/23/2022 19:15,13,,5/24/2022 8:37,,
HEK,5,14.6,6.8,8.23,GIL20,5/23/2022 18:59,17.7,19.3,5/24/2022 6:57,,
HEK,5,14.6,6.8,8.23,MIN20,5/23/2022 19:09,18,,5/24/2022 8:41,,
HEK,5,14.6,6.8,8.23,HOP20,5/23/2022 18:59,17.8,,5/24/2022 8:43,,
HEK,5,14.6,6.8,8.23,MIN25,5/23/2022 18:56,23.3,,5/24/2022 8:47,,
HEK,5,14.6,6.8,8.23,GIL30,5/23/2022 19:39,27.3,28.3,5/24/2022 6:26,,
HEK,5,14.6,6.8,8.23,MIN30,5/23/2022 18:47,27.7,,5/24/2022 8:50,,
HEK,5,14.6,6.8,8.23,HOP30,5/23/2022 18:38,27.7,,5/24/2022 8:53,,
HEK,6,17.5,8.57,8.26,MINBEN01,6/21/2022 18:18,1.5,,6/22/2022 8:22,-119.5172767,40.15988333
HEK,6,17.5,8.57,8.26,MINBEN02,6/21/2022 18:18,1.9,,6/22/2022 8:19,-119.5174883,40.15995167
HEK,6,17.5,8.57,8.26,MINBEN05,6/21/2022 18:21,4.9,,6/22/2022 8:28,-119.51879,40.16008
HEK,6,17.5,8.57,8.26,GIL10,6/21/2022 18:08,5.5,7.4,6/22/2022 7:08,-119.51991,40.15853833
HEK,6,17.5,8.57,8.26,MINBEN10,6/21/2022 18:23,9.5,,6/22/2022 8:32,-119.5201467,40.16024
HEK,6,17.5,8.57,8.26,MINBEN15,6/21/2022 18:26,14.1,,6/22/2022 8:34,-119.5219267,40.16025333
HEK,6,17.5,8.57,8.26,GIL20,6/21/2022 18:02,15.5,16.6,6/22/2022 6:18,-119.5226583,40.158365
HEK,6,17.5,8.57,8.26,MINBEN20,6/21/2022 18:29,19.7,,6/22/2022 8:39,-119.524765,40.16003167
HEK,6,17.5,8.57,8.26,MINBEN25,6/21/2022 18:33,24.6,,6/22/2022 8:45,-119.5276567,40.15974667
HEK,6,17.5,8.57,8.26,GIL30,6/21/2022 17:56,25.1,25.8,6/22/2022 5:55,-119.527035,40.15775333
HEK,6,17.5,8.57,8.26,HOPS,6/21/2022 18:14,3.3,4.3,6/22/2022 8:07,-119.518145,40.15931
HEK,7,23.8,0,8.48,MINBEN01,7/24/2022 18:50,1,,7/25/2022 7:51,-119.517435,40.159655
HEK,7,23.8,0,8.48,MINBEN02,7/24/2022 18:49,2,,7/25/2022 7:53,-119.5175667,40.15967
HEK,7,23.8,0,8.48,MINBEN05,7/24/2022 18:46,5,,7/25/2022 8:03,-119.518575,40.15962667
HEK,7,23.8,0,8.48,MINBEN10,7/24/2022 18:45,9.5,,7/25/2022 8:11,-119.5198533,40.15980333
HEK,7,23.8,0,8.48,GIL10,7/24/2022 18:57,5.1,6.8,7/25/2022 6:46,-119.5191783,40.158985
HEK,7,23.8,0,8.48,MINBEN15,7/24/2022 18:43,15.2,,7/25/2022 8:15,-119.52248,40.15987667
HEK,7,23.8,0,8.48,MINBEN20,7/24/2022 18:41,20,,7/25/2022 8:36,-119.5246617,40.15983833
HEK,7,23.8,0,8.48,GIL20,7/24/2022 19:01,15.3,15.9,7/25/2022 6:05,-119.5227983,40.15868333
HEK,7,23.8,0,8.48,MINBEN25,7/24/2022 18:39,24.8,,7/25/2022 8:40,-119.5280133,40.15997
HEK,7,23.8,0,8.48,MINBEN30,7/24/2022 18:35,29.8,,7/25/2022 8:44,-119.5338133,40.15992167
HEK,7,23.8,0,8.48,GIL30,7/24/2022 19:05,24.7,25.3,7/25/2022 5:45,-119.5274183,40.158555
HEK,7,23.8,0,8.48,HOPS,7/24/2022 18:55,3.4,4.3,7/25/2022 7:34,-119.5185633,40.15890833
NTS,5,13.2,5.75,8.15,MIN01,5/22/2022 18:58,0.7,,5/23/2022 8:20,,
NTS,5,13.2,5.75,8.15,MIN02,5/22/2022 18:55,1.6,,5/23/2022 8:18,,
NTS,5,13.2,5.75,8.15,MIN05,5/22/2022 18:50,4.4,,5/23/2022 8:13,,
NTS,5,13.2,5.75,8.15,GIL10,5/22/2022 18:40,7,7.4,5/23/2022 7:28,,
NTS,5,13.2,5.75,8.15,HOP10,5/22/2022 18:44,7.5,,5/23/2022 8:05,,
NTS,5,13.2,5.75,8.15,MIN10,5/22/2022 19:02,7,,5/23/2022 8:06,,
NTS,5,13.2,5.75,8.15,MIN15,5/22/2022 19:05,13.7,,5/23/2022 7:23,,
NTS,5,13.2,5.75,8.15,GIL20,5/22/2022 18:34,17.2,17.6,5/23/2022 6:51,,
NTS,5,13.2,5.75,8.15,HOP20,5/22/2022 18:32,17,,5/23/2022 7:15,,
NTS,5,13.2,5.75,8.15,MIN20,5/22/2022 19:09,17.2,,5/23/2022 7:18,,
NTS,5,13.2,5.75,8.15,MIN25,5/22/2022 19:13,23.4,,5/23/2022 6:45,,
NTS,5,13.2,5.75,8.15,GIL30,5/22/2022 18:18,27,27.3,5/23/2022 6:20,,
NTS,5,13.2,5.75,8.15,HOP30,5/22/2022 18:24,27,,5/23/2022 6:38,,
NTS,5,13.2,5.75,8.15,MIN30,5/22/2022 19:16,27,,5/23/2022 6:41,,
NTS,6,14.7,7.69,8.27,MIN01,6/14/2022 18:05,1.2,,6/15/2022 7:04,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN02,6/14/2022 18:08,1.8,,6/15/2022 7:06,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN05,6/14/2022 18:12,4.8,,6/15/2022 7:10,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN10,6/14/2022 18:17,8.9,,6/15/2022 7:13,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,GIL10,6/14/2022 17:52,7.9,8.8,6/15/2022 6:33,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN15,6/14/2022 18:20,13.9,,6/15/2022 7:19,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN20,6/14/2022 18:23,18.9,,6/15/2022 7:23,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,GIL20,6/14/2022 17:46,17.7,18.3,6/15/2022 6:16,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN25,6/14/2022 18:27,23.7,,6/15/2022 7:27,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,MIN30,6/14/2022 18:31,28.8,,6/15/2022 7:34,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,GIL30,6/14/2022 17:35,27.4,28.3,6/15/2022 6:06,-119.61247,40.16769333
NTS,6,14.7,7.69,8.27,HOPS,6/14/2022 18:01,2.3,,6/15/2022 6:56,-119.61247,40.16769333
NTS,7,25.5,6.6,8.4,MINBEN01,7/23/2022 19:05,1,,7/24/2022 7:55,-119.6208183,40.1928
NTS,7,25.5,6.6,8.4,MINBEN02,7/23/2022 19:04,2,,7/24/2022 8:01,-119.6208817,40.19168667
NTS,7,25.5,6.6,8.4,MINBEN05,7/23/2022 19:00,5.2,,7/24/2022 8:04,-119.6200133,40.186945
NTS,7,25.5,6.6,8.4,MINBEN10,7/23/2022 18:57,10.1,,7/24/2022 8:07,-119.6194617,40.18138667
NTS,7,25.5,6.6,8.4,GIL10,7/23/2022 19:14,5.1,5.2,7/24/2022 6:28,-119.6158117,40.18849333
NTS,7,25.5,6.6,8.4,MINBEN15,7/23/2022 18:48,14.9,,7/24/2022 8:11,-119.62011,40.17693333
NTS,7,25.5,6.6,8.4,MINBEN20,7/23/2022 18:45,20.1,,7/24/2022 8:23,-119.6199333,40.173305
